gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7422194;Aspsäter;85000;Aspsäter;Aspsäter;;;;;
7458338;Aspåsen;83001;Aspåsen;Aspåsen;;;;;
7458800;Avelsäter;85002;Avelsäter;Avelsäter;;;;;
7410051;Aversta krog;85003;Aversta krog;Aversta krog;;;;;
7458339;Backa;85004;Backa (Nysäter);Backa (Nysäter);;;;;
7458802;Backa;83002;Backa (Sunnemo);Backa (Sunnemo);;;;;
7458340;Backarna;83003;Backarna (Höje);Backarna (Höje);;;;;
7458221;Backatorp;81408;Backatorp (Broby);Backatorp (Broby);;;;;
7457065;Backebo;37007;Backebo;Backebo;;;;;
7458803;Backetorpsvägen;85005;Backetorpsvägen;Backetorpsvägen;;;;;
7457407;Backevarv;65000;Backevarv;Backevarv;;;;;
7410061;Bada korsväg;37008;Bada korsväg;Bada korsväg;;;;;
7458544;Bagerivägen;84081;Bagerivägen;Bagerivägen;;;;;
7422316;Baggerud;81006;Baggerud;Baggerud;;;;;
7457794;Baggetorp;80441;Baggetorp (VTAB);Baggetorp (VTAB);;;;;
7410079;Basterud;83004;Basterud;Basterud;;;;;
7458341;Basterudsvägen;83005;Basterudsvägen;Basterudsvägen;;81080;Beckasinvägen;Beckasinvägen;
7457531;Bastnäs;66131;Bastnäs;Bastnäs;;94000;Bengtsfors Terminal;Bengtsfors Terminal;
7457066;Bastuknappsvägen;37010;Bastuknappsvägen;Bastuknappsvägen;;;;;
7457967;Bennebergsvägen;81007;Bennebergsvägen;Bennebergsvägen;;;;;
7457322;Berg;81008;Berg (Kristinehamn);Berg (Kristinehamn);;;;;
7457968;Berg;63000;Berg (Skived);Berg (Skived);;;;;
7443216;Berga;83006;Berga (Edebäck);Berga (Edebäck);;;;;
7457463;Berga;66041;Berga (Lysvik);Berga (Lysvik);;;;;
7458301;Berga;82082;Berga (Nordmark);Berga (Nordmark);;;;;
7458342;Berga;;;;;;;;
7457441;Bergakorset;66002;Bergakorset;Bergakorset;;;;;
7410087;Bergatorp;84082;Bergatorp;Bergatorp;;;;;
7457961;Bergsjö;81000;Bergsjö;Bergsjö;;;;;
7410093;Bergsäng;83007;Bergsäng;Bergsäng;;;;;
7456998;Bilavägen;30002;Bilavägen;Bilavägen;;;;;
7410103;Bjurberget;37012;Bjurberget;Bjurberget;;;;;
7422329;Bjurbäcken;60002;Bjurbäcken;Bjurbäcken;;;;;
7457233;Bjurbäckens slussar;60088;Bjurbäckens slussar;Bjurbäckens slussar;;;;;
7422178;Bjurtjärn kyrka;60004;Bjurtjärns kyrka;Bjurtjärns kyrka;;;;;
7404326;Bjurtjärn prästgård;60005;Bjurtjärns prästgård;Bjurtjärns prästgård;;;;;
7457188;Bjurtjärns skola;60006;Bjurtjärns skola;Bjurtjärns skola;;;;;
7422352;Bjurvik väg 26 gränsen;84086;Bjälvern;Bjälvern;;;;;
7410105;Bjurvik västra;66044;Bjälverud rv 45;Bjälverud rv 45;;;;;
7458220;Bjurvik östra;66003;Bjälverud Söderlunds affär;Bjälverud Söderlunds affär;;;;;
7458548;Bjälvern;;;;;;;;
7430405;Bjälverud rv 45;;;;;;;;
7410107;Bjälverud Söderlunds Affär;;;;;;;;
7450749;Bjässevägen;;;;;;;;
7457797;Björby;80446;Björby;Björby;;;;;
7457878;Björby gård;80605;Björby gård;Björby gård;;;;;
7457971;Björkbol;81011;Björkbol;Björkbol;;;;;
7457245;Björkeberg;60103;Björkeberg;Björkeberg;;;;;
7422322;Björkebol;81012;Björkebol;Björkebol;;;;;
7458242;Björkebolsmon;81429;Björkebolsmon;Björkebolsmon;;;;;
7456930;Björkenäs;15002;Björkenäs (Boda);Björkenäs (Boda);;;;;
7458343;Björkilsågen;83008;Björkilsågen;Björkilsågen;;;;;
7457068;Björkliden;37013;Björkliden (Höljes);Björkliden (Höljes);;;;;
7458550;Björknäs;84088;Björknäs (Fiskevik);Björknäs (Fiskevik);;;;;
7464346;Björkudden;84399;Björkudden;Björkudden;;;;;
7457367;Björnebol;64000;Björnebol;Björnebol;;;;;
7400800;Björneborg Folkets Park;81422;Björneborg Folkets park;Björneborg Folkets park;;;65002;Björnåsen;Björnåsen
7423005;Björneborg Gullspångsvägen;81053;Björneborg Gullspångsvägen;Björneborg Gullspångsvägen;;;62000;Blia;Blia
7424437;Björneborg Konsum;81014;Björneborg konsum;Björneborg konsum;;;;;
7422343;Björnevål;64001;Björnevål;Björnevål;;;87044;Bofors industriport;Bofors industriport
7458344;Björngården;83009;Björngården;Björngården;;;64050;Borgviksvägen;Borgviksvägen
7431512;Björnvik;65075;Björnvik;Björnvik;;;;;
7449881;Björtorp;87042;Björtorp;Björtorp;;;;;
7458250;Blaxmo kvarn;81438;Blaxmo kvarn;Blaxmo kvarn;;;;;
7457798;Blombacka;80447;Blombacka;Blombacka;;;;;
7457799;Blombacka IP;80448;Blombacka IP;Blombacka IP;;;;;
7404304;Blomskog skolan;65004;Blomskog skolan;Blomskog skolan;;;;;
7457974;Bobacken;81015;Bobacken;Bobacken;;;;;
7410132;Boda;30005;Boda;Boda;;;;;
7449885;Bodalen;87043;Bodalen;Bodalen;;;;;
7457801;Bofasterudsvägen;80450;Bofasterudsvägen;Bofasterudsvägen;;;;;
